,notification_date,cases,death,applied
0,2020-01-25,3,0,False
1,2020-01-27,1,0,False
2,2020-03-01,2,0,False
3,2020-03-02,3,0,False
4,2020-03-03,6,1,False
5,2020-03-04,6,0,True
6,2020-03-05,4,0,True
7,2020-03-06,7,0,True
8,2020-03-07,2,1,True
9,2020-03-08,7,0,True
10,2020-03-09,13,0,True
11,2020-03-10,6,0,True
12,2020-03-11,16,0,True
13,2020-03-12,14,1,True
14,2020-03-13,19,0,True
15,2020-03-14,20,1,True
16,2020-03-15,38,0,True
17,2020-03-16,29,0,True
18,2020-03-17,64,1,True
19,2020-03-18,45,0,True
20,2020-03-19,56,1,True
21,2020-03-20,88,0,True
22,2020-03-21,122,0,True
23,2020-03-22,121,0,True
24,2020-03-23,177,1,True
25,2020-03-24,192,0,True
26,2020-03-25,206,0,True
27,2020-03-26,185,0,True
28,2020-03-27,213,1,True
29,2020-03-28,143,0,True
30,2020-03-29,124,0,True
31,2020-03-30,90,0,True
32,2020-03-31,131,2,True
33,2020-04-01,124,0,True
34,2020-04-02,92,2,True
35,2020-04-03,106,0,True
36,2020-04-04,73,4,True
37,2020-04-05,63,2,True
38,2020-04-06,40,3,True
39,2020-04-07,44,0,True
40,2020-04-08,44,0,True
41,2020-04-09,41,1,True
42,2020-04-10,30,1,True
43,2020-04-11,18,1,True
44,2020-04-12,9,1,True
45,2020-04-13,7,0,True
46,2020-04-14,21,0,True
47,2020-04-15,22,0,True
48,2020-04-16,22,0,True
49,2020-04-17,15,2,True
50,2020-04-18,17,1,True
51,2020-04-19,7,0,True
52,2020-04-20,2,1,True
53,2020-04-21,6,2,True
54,2020-04-22,3,1,True
55,2020-04-23,8,1,True
56,2020-04-24,14,1,True
57,2020-04-25,3,0,True
58,2020-04-26,1,0,True
59,2020-04-27,5,5,True
60,2020-04-28,10,1,True
61,2020-04-29,3,0,True
62,2020-04-30,15,1,True
63,2020-05-01,2,0,True
64,2020-05-02,2,1,True
65,2020-05-03,1,1,True
66,2020-05-04,4,1,True
67,2020-05-05,5,0,True
68,2020-05-06,3,0,True
69,2020-05-07,2,0,True
70,2020-05-08,4,0,True
71,2020-05-09,1,0,True
72,2020-05-10,1,0,True
73,2020-05-12,5,1,True
74,2020-05-13,4,0,True
75,2020-05-14,3,0,True
76,2020-05-15,2,0,True
77,2020-05-17,1,1,True
78,2020-05-18,2,1,True
79,2020-05-19,4,0,True
80,2020-05-20,1,0,True
81,2020-05-21,3,1,True
82,2020-05-23,1,0,True
83,2020-05-24,1,0,True
84,2020-05-25,2,0,True
85,2020-05-27,1,0,True
86,2020-05-28,2,0,True
87,2020-05-29,1,0,True
88,2020-05-30,2,0,True
89,2020-05-31,5,0,True
90,2020-06-01,4,0,True
91,2020-06-02,1,0,True
92,2020-06-03,2,0,True
93,2020-06-04,3,0,True
94,2020-06-06,1,0,True
95,2020-06-07,3,0,True
96,2020-06-08,1,0,True
97,2020-06-09,3,0,True
98,2020-06-11,3,0,True
99,2020-06-12,3,0,True
100,2020-06-13,9,0,True
101,2020-06-14,6,0,True
102,2020-06-17,2,0,True
103,2020-06-18,7,0,True
104,2020-06-19,1,0,True
105,2020-06-20,6,0,True
106,2020-06-21,1,0,True
107,2020-06-22,1,0,True
108,2020-06-23,10,0,True
109,2020-06-24,4,1,True
110,2020-06-25,6,0,True
111,2020-06-26,5,0,True
112,2020-06-27,10,0,True
113,2020-06-28,3,0,True
114,2020-06-29,6,0,True
115,2020-06-30,11,0,True
116,2020-07-01,6,0,True
117,2020-07-02,5,0,True
118,2020-07-03,8,0,True
119,2020-07-04,12,0,True
120,2020-07-05,8,0,True
121,2020-07-06,13,0,True
122,2020-07-07,6,0,True
123,2020-07-08,13,0,True
124,2020-07-09,9,0,True
125,2020-07-10,8,0,True
126,2020-07-11,2,0,True
127,2020-07-12,15,0,True
128,2020-07-13,17,0,True
129,2020-07-14,10,0,True
130,2020-07-15,9,0,True
131,2020-07-16,9,0,True
132,2020-07-17,13,0,True
133,2020-07-18,17,0,True
134,2020-07-19,20,0,True
135,2020-07-20,14,0,True
136,2020-07-21,14,0,True
137,2020-07-22,16,0,True
138,2020-07-23,7,0,True
139,2020-07-24,18,0,True
140,2020-07-25,18,0,True
141,2020-07-26,9,0,True
142,2020-07-27,15,0,True
143,2020-07-28,22,0,True
144,2020-07-29,15,0,True
145,2020-07-30,22,0,True
146,2020-07-31,15,1,True
147,2020-08-01,14,0,True
148,2020-08-02,11,0,True
149,2020-08-03,13,0,True
150,2020-08-04,9,0,True
151,2020-08-05,13,0,True
152,2020-08-06,11,0,True
153,2020-08-07,8,0,True
154,2020-08-08,14,0,True
155,2020-08-09,13,0,True
156,2020-08-10,22,0,True
157,2020-08-11,15,0,True
158,2020-08-12,10,1,True
159,2020-08-13,14,0,True
160,2020-08-14,7,0,True
161,2020-08-15,6,1,True
162,2020-08-16,5,0,True
163,2020-08-17,3,0,True
164,2020-08-18,8,0,True
165,2020-08-19,2,0,True
166,2020-08-20,5,0,True
167,2020-08-21,7,0,True
168,2020-08-22,2,0,True
169,2020-08-23,3,0,True
170,2020-08-24,4,0,True
171,2020-08-25,6,0,True
172,2020-08-26,12,0,True
173,2020-08-27,15,0,True
174,2020-08-28,10,0,True
175,2020-08-29,7,0,True
176,2020-08-30,11,0,True
177,2020-08-31,12,0,True
178,2020-09-01,15,0,True
179,2020-09-02,10,0,True
180,2020-09-03,7,0,True
181,2020-09-04,7,0,True
182,2020-09-05,8,0,True
183,2020-09-06,4,0,True
184,2020-09-07,11,0,True
185,2020-09-08,5,0,True
186,2020-09-09,10,0,True
187,2020-09-10,8,0,True
188,2020-09-11,8,0,True
189,2020-09-12,6,0,True
190,2020-09-13,7,0,True
